,Name,Season,Matches,W,D,L,Goals,Points,PPM
2120,Ruud Gullit,1998/99,48,18,13,17,64:63,67,1.40
2121,Ruud Gullit,1999/00,5,0,1,4,7:13,1,0.20
2122,Ruud Gullit,2004/05,44,24,6,14,109:65,78,1.77
2123,Ruud Gullit,2007/08,19,6,5,8,38:40,23,1.21
2124,Ruud Gullit,2010/11,13,3,3,7,9:17,12,0.92
2125,David Moyes,1997/98,20,6,9,5,24:26,27,1.35
2126,David Moyes,1998/99,47,22,13,12,80:54,79,1.68
2127,David Moyes,1999/00,54,33,11,10,86:44,110,2.04
2128,David Moyes,2000/01,47,23,9,15,64:53,78,1.66
2129,David Moyes,2001/02,51,22,12,17,81:80,78,1.53
2130,David Moyes,2002/03,42,19,8,15,59:60,65,1.55
2131,David Moyes,2003/04,44,12,13,19,58:66,49,1.11
2132,David Moyes,2004/05,44,22,7,15,60:57,73,1.66
2133,David Moyes,2005/06,47,16,10,21,42:65,58,1.23
2134,David Moyes,2006/07,42,17,13,12,59:42,64,1.52
2135,David Moyes,2007/08,54,29,9,16,85:51,96,1.78
2136,David Moyes,2008/09,48,22,14,12,71:49,80,1.67
2137,David Moyes,2009/10,52,23,14,15,82:68,83,1.60
2138,David Moyes,2010/11,44,16,16,12,70:57,64,1.45
2139,David Moyes,2011/12,47,21,12,14,66:48,75,1.60
2140,David Moyes,2012/13,45,20,16,9,73:50,76,1.69
2141,David Moyes,2013/14,51,26,10,15,87:56,88,1.73
2142,David Moyes,2014/15,31,10,12,9,36:38,42,1.35
2143,David Moyes,2015/16,11,2,3,6,12:14,9,0.82
2144,David Moyes,2016/17,43,8,7,28,32:73,31,0.72
2145,David Moyes,2017/18,31,9,10,12,38:48,37,1.19
2146,David Moyes,2019/20,21,6,5,10,30:31,23,1.10
2147,David Moyes,2020/21,43,22,8,13,71:52,74,1.72
2148,David Moyes,2021/22,56,26,10,20,90:68,88,1.57
2149,David Moyes,2022/23,57,27,8,22,92:79,89,1.56
2150,David Moyes,2023/24,53,22,12,19,82:90,78,1.47
2151,Mike Walker,1992/93,43,21,9,13,61:67,72,1.67
2152,Mike Walker,1993/94,49,17,14,18,65:65,65,1.33
2153,Mike Walker,1994/95,14,1,5,8,9:24,8,0.57
2154,Mike Walker,1996/97,46,17,12,17,63:68,63,1.37
2155,Mike Walker,1997/98,42,11,13,18,47:65,46,1.10
2156,Mike Walker,2000/01,1,0,0,1,0:1,0,0.00
2157,Martin O'Neill,1993/94,1,1,0,0,6:4,3,3.00
2158,Martin O'Neill,1995/96,8,3,2,3,9:13,11,1.38
2159,Martin O'Neill,1996/97,46,15,15,16,54:59,60,1.30
2160,Martin O'Neill,1997/98,41,13,14,14,53:48,53,1.29
2161,Martin O'Neill,1998/99,46,17,14,15,52:56,65,1.41
2162,Martin O'Neill,1999/00,51,24,11,16,86:74,83,1.63
2163,Martin O'Neill,2000/01,35,27,4,4,88:28,85,2.43
2164,Martin O'Neill,2001/02,56,43,4,9,134:42,133,2.38
2165,Martin O'Neill,2002/03,60,45,6,9,148:51,141,2.35
2166,Martin O'Neill,2003/04,61,45,8,8,143:40,143,2.34
2167,Martin O'Neill,2004/05,46,33,4,9,92:46,103,2.24
2168,Martin O'Neill,2006/07,42,13,17,12,49:50,56,1.33
2169,Martin O'Neill,2007/08,41,17,12,12,76:54,63,1.54
2170,Martin O'Neill,2008/09,55,24,16,15,78:69,88,1.60
2171,Martin O'Neill,2009/10,52,27,14,11,85:61,95,1.83
2172,Martin O'Neill,2011/12,30,12,9,9,37:34,45,1.50
2173,Martin O'Neill,2012/13,36,9,11,16,39:48,38,1.06
2174,Martin O'Neill,2013/14,7,1,3,3,7:10,6,0.86
2175,Martin O'Neill,2014/15,13,7,4,2,25:8,25,1.92
2176,Martin O'Neill,2015/16,10,3,4,3,11:12,13,1.30
2177,Martin O'Neill,2016/17,14,7,4,3,20:11,25,1.79
2178,Martin O'Neill,2017/18,5,1,1,3,3:9,4,0.80
2179,Martin O'Neill,2018/19,25,8,7,10,24:29,31,1.24
2180,Gerry Francis,1992/93,42,17,12,13,63:55,63,1.50
2181,Gerry Francis,1993/94,42,16,11,15,62:62,59,1.40
2182,Gerry Francis,1994/95,50,18,17,15,85:70,71,1.42
2183,Gerry Francis,1995/96,46,18,14,14,61:60,68,1.48
2184,Gerry Francis,1996/97,40,13,7,20,45:59,46,1.15
2185,Gerry Francis,1997/98,15,3,4,8,12:23,13,0.87
2186,Gerry Francis,1998/99,35,10,7,18,40:42,37,1.06
2187,Gerry Francis,1999/00,49,17,18,14,67:60,69,1.41
2188,Gerry Francis,2000/01,38,8,15,15,40:67,39,1.03
2189,Gerry Francis,2001/02,2,1,0,1,1:3,3,1.50
2190,Roberto De Zerbi,2013/14,22,5,5,12,26:38,20,0.91
2191,Roberto De Zerbi,2014/15,39,18,13,8,63:37,67,1.72
2192,Roberto De Zerbi,2015/16,49,29,10,10,103:62,97,1.98
2193,Roberto De Zerbi,2016/17,15,2,2,11,17:33,8,0.53
2194,Roberto De Zerbi,2017/18,29,6,3,20,31:62,21,0.72
2195,Roberto De Zerbi,2018/19,41,11,16,14,60:64,49,1.20
2196,Roberto De Zerbi,2019/20,40,15,9,16,71:65,54,1.35
2197,Roberto De Zerbi,2020/21,39,17,11,11,64:58,62,1.59
2198,Roberto De Zerbi,2021/22,30,20,5,5,64:26,65,2.17
2199,Roberto De Zerbi,2022/23,39,19,7,13,86:62,64,1.64
2200,Roberto De Zerbi,2023/24,50,19,13,18,75:77,70,1.40
2201,Trevor Francis,1992/93,51,19,16,16,77:66,73,1.43
2202,Trevor Francis,1993/94,51,19,19,13,87:67,76,1.49
2203,Trevor Francis,1994/95,47,16,13,18,55:62,61,1.30
2204,Trevor Francis,1995/96,1,0,1,0,1:1,1,1.00
2205,Trevor Francis,1996/97,47,17,15,15,53:51,66,1.40
2206,Trevor Francis,1997/98,45,19,16,10,62:39,73,1.62
2207,Trevor Francis,1998/99,45,23,11,11,67:39,80,1.78
2208,Trevor Francis,1999/00,52,26,11,15,73:49,89,1.71
2209,Trevor Francis,2000/01,53,27,9,17,77:61,90,1.70
2210,Trevor Francis,2001/02,41,16,7,18,53:56,55,1.34
2211,Trevor Francis,2002/03,51,19,17,15,75:54,74,1.45
2212,Martin Jol,1996/97,22,13,2,7,48:29,41,1.86
2213,Martin Jol,1997/98,31,11,5,15,55:51,38,1.23
2214,Martin Jol,1998/99,31,11,7,13,44:51,40,1.29
2215,Martin Jol,1999/00,38,16,6,16,59:67,54,1.42
2216,Martin Jol,2000/01,36,16,11,9,48:39,59,1.64
2217,Martin Jol,2001/02,37,14,6,17,52:51,48,1.30
2218,Martin Jol,2002/03,34,14,4,16,44:51,46,1.35
2219,Martin Jol,2003/04,34,10,10,14,47:55,40,1.18
2220,Martin Jol,2004/05,34,15,8,11,56:40,53,1.56
2221,Martin Jol,2005/06,40,18,11,11,55:42,65,1.63
2222,Martin Jol,2006/07,59,31,13,15,104:76,106,1.80
2223,Martin Jol,2007/08,14,3,5,6,27:25,14,1.00
2224,Martin Jol,2008/09,53,32,6,15,85:66,102,1.92
2225,Martin Jol,2009/10,51,39,7,5,155:35,124,2.43
2226,Martin Jol,2010/11,29,13,9,7,55:34,48,1.66
2227,Martin Jol,2011/12,55,22,14,19,80:65,80,1.45
2228,Martin Jol,2012/13,42,12,11,19,54:67,47,1.12
2229,Martin Jol,2013/14,16,5,1,10,23:35,16,1.00
2230,Martin Jol,2015/16,29,18,6,5,54:25,60,2.07
2231,George Graham,1992/93,53,24,13,16,65:49,85,1.60
2232,George Graham,1993/94,58,26,22,10,86:43,100,1.72
2233,George Graham,1994/95,40,13,14,13,48:41,53,1.33
2234,George Graham,1996/97,37,10,13,14,28:36,43,1.16
2235,George Graham,1997/98,42,19,8,15,65:53,65,1.55
2236,George Graham,1998/99,52,22,19,11,73:48,85,1.63
2237,George Graham,1999/00,47,18,11,18,68:63,65,1.38
2238,George Graham,2000/01,37,14,9,14,50:51,51,1.38
2239,Harry Redknapp,1994/95,42,13,11,18,44:48,50,1.19
2240,Harry Redknapp,1995/96,38,14,9,15,43:52,51,1.34
2241,Harry Redknapp,1996/97,41,11,13,17,44:51,46,1.12
2242,Harry Redknapp,1997/98,45,19,10,16,73:71,67,1.49
2243,Harry Redknapp,1998/99,40,16,10,14,47:55,58,1.45
2244,Harry Redknapp,1999/00,52,23,12,17,71:65,81,1.56
2245,Harry Redknapp,2000/01,43,14,12,17,54:55,54,1.26
2246,Harry Redknapp,2001/02,6,1,2,3,4:8,5,0.83
2247,Harry Redknapp,2002/03,49,30,11,8,101:52,101,2.06
2248,Harry Redknapp,2003/04,46,17,10,19,63:68,61,1.33
2249,Harry Redknapp,2004/05,43,14,12,17,62:72,54,1.26
2250,Harry Redknapp,2005/06,46,14,16,16,53:61,58,1.26
2251,Harry Redknapp,2006/07,42,16,12,14,50:49,60,1.43
2252,Harry Redknapp,2007/08,47,24,9,14,60:43,81,1.72
2253,Harry Redknapp,2008/09,55,26,11,18,81:74,89,1.62
2254,Harry Redknapp,2009/10,50,28,10,12,96:52,94,1.88
2255,Harry Redknapp,2010/11,53,22,17,14,84:73,83,1.57
2256,Harry Redknapp,2011/12,53,28,12,13,97:59,96,1.81
2257,Harry Redknapp,2012/13,28,5,10,13,24:39,25,0.89
2258,Harry Redknapp,2013/14,52,26,12,14,65:51,90,1.73
2259,Harry Redknapp,2014/15,27,6,4,17,33:51,22,0.81
2260,Harry Redknapp,2016/17,3,2,0,1,3:1,6,2.00
2261,Harry Redknapp,2017/18,10,2,1,7,10:15,7,0.70
2262,Nuno Espírito Santo,2012/13,38,16,7,15,47:54,55,1.45
2263,Nuno Espírito Santo,2013/14,42,16,10,16,40:43,58,1.38
2264,Nuno Espírito Santo,2014/15,42,24,12,6,78:40,84,2.00
2265,Nuno Espírito Santo,2015/16,20,8,4,8,26:20,28,1.40
2266,Nuno Espírito Santo,2016/17,49,27,15,7,90:31,96,1.96
2267,Nuno Espírito Santo,2017/18,52,33,10,9,88:45,109,2.10
2268,Nuno Espírito Santo,2018/19,46,21,10,15,62:58,73,1.59
2269,Nuno Espírito Santo,2019/20,59,28,17,14,95:60,101,1.71
2270,Nuno Espírito Santo,2020/21,42,14,9,19,38:55,51,1.21
2271,Nuno Espírito Santo,2021/22,17,9,1,7,25:25,28,1.65
2272,Nuno Espírito Santo,2022/23,36,26,6,4,75:24,84,2.33
2273,Nuno Espírito Santo,2023/24,44,19,9,16,82:65,66,1.50
2274,Brian Little,1992/93,2,1,0,1,3:8,3,1.50
2275,Brian Little,1993/94,1,0,0,1,1:5,0,0.00
2276,Brian Little,1994/95,42,10,14,18,46:56,44,1.05
2277,Brian Little,1995/96,49,25,12,12,72:42,87,1.78
2278,Brian Little,1996/97,42,18,12,12,50:37,66,1.57
2279,Brian Little,1997/98,37,11,9,17,36:48,42,1.14
2280,Brian Little,1998/99,46,20,7,19,59:64,67,1.46
2281,Brian Little,1999/00,39,7,17,15,35:55,38,0.97
2282,Brian Little,2001/02,2,1,0,1,3:5,3,1.50
2283,Brian Little,2003/04,41,19,13,9,58:43,70,1.71
2284,Brian Little,2004/05,54,26,13,15,90:73,91,1.69
2285,Brian Little,2005/06,51,15,15,21,67:70,60,1.18
2286,Brian Little,2007/08,32,7,9,16,28:48,30,0.94
2287,Brian Little,2008/09,5,2,2,1,9:3,8,1.60
2288,Howard Wilkinson,1992/93,50,15,16,19,72:78,61,1.22
2289,Howard Wilkinson,1993/94,42,18,16,8,65:39,70,1.67
2290,Howard Wilkinson,1994/95,45,21,14,10,66:44,77,1.71
2291,Howard Wilkinson,1995/96,49,16,9,24,53:74,57,1.16
2292,Howard Wilkinson,1996/97,6,3,1,2,7:9,10,1.67
2293,Howard Wilkinson,1997/98,1,1,0,0,1:0,3,3.00
2294,Howard Wilkinson,1998/99,3,1,0,2,6:5,3,1.00
2295,Howard Wilkinson,1999/00,3,1,0,2,6:4,3,1.00
2296,Howard Wilkinson,2000/01,5,2,2,1,7:4,8,1.60
2297,Howard Wilkinson,2002/03,26,5,7,14,29:43,22,0.85
2298,Howard Wilkinson,2003/04,3,2,0,1,5:4,6,2.00
2299,Avram Grant,1992/93,38,20,8,10,77:42,68,1.79
2300,Avram Grant,1993/94,44,28,8,8,84:45,92,2.09
2301,Avram Grant,1994/95,34,21,7,6,65:31,70,2.06
2302,Avram Grant,1995/96,30,19,7,4,66:33,64,2.13
2303,Avram Grant,1996/97,35,13,9,13,51:41,48,1.37
2304,Avram Grant,1997/98,30,10,9,11,42:35,39,1.30
2305,Avram Grant,1998/99,30,20,3,7,77:32,63,2.10
2306,Avram Grant,1999/00,43,19,9,15,73:49,66,1.53
2307,Avram Grant,2000/01,44,26,12,6,75:38,90,2.05
2308,Avram Grant,2001/02,39,25,9,5,83:47,84,2.15
2309,Avram Grant,2002/03,13,6,4,3,23:15,22,1.69
2310,Avram Grant,2003/04,5,4,1,0,12:3,13,2.60
2311,Avram Grant,2004/05,12,4,7,1,18:14,19,1.58
2312,Avram Grant,2005/06,3,0,1,2,2:5,1,0.33
2313,Avram Grant,2007/08,54,36,12,6,101:41,120,2.22
2314,Avram Grant,2009/10,33,10,7,16,39:56,37,1.12
2315,Avram Grant,2010/11,47,15,12,20,67:78,57,1.21
2316,Avram Grant,2011/12,17,12,2,3,31:11,38,2.24
2317,Avram Grant,2014/15,11,6,1,4,24:17,19,1.73
2318,Avram Grant,2015/16,7,4,3,0,15:4,15,2.14
2319,Avram Grant,2016/17,12,4,3,5,7:9,15,1.25
2320,Avram Grant,2017/18,11,1,1,9,8:16,4,0.36
2321,Avram Grant,2021/22,4,3,1,0,9:2,10,2.50
2322,Avram Grant,2022/23,1,0,0,1,0:3,0,0.00
2323,Avram Grant,2023/24,11,3,2,6,20:20,11,1.00
2324,Eddie Howe,2008/09,23,12,3,8,34:17,39,1.70
2325,Eddie Howe,2009/10,51,27,8,16,68:54,89,1.75
2326,Eddie Howe,2010/11,51,22,11,18,81:72,77,1.51
2327,Eddie Howe,2011/12,50,20,10,20,72:68,70,1.40
2328,Eddie Howe,2012/13,52,29,9,14,99:65,96,1.85
2329,Eddie Howe,2013/14,50,20,12,18,72:71,72,1.44
2330,Eddie Howe,2014/15,53,31,12,10,115:52,105,1.98
2331,Eddie Howe,2015/16,44,15,9,20,58:76,54,1.23
2332,Eddie Howe,2016/17,41,13,10,18,59:74,49,1.20
2333,Eddie Howe,2017/18,44,14,12,18,54:70,54,1.23
2334,Eddie Howe,2018/19,43,16,6,21,65:77,54,1.26
2335,Eddie Howe,2019/20,42,11,7,24,48:69,40,0.95
2336,Eddie Howe,2021/22,28,13,5,10,32:39,44,1.57
2337,Eddie Howe,2022/23,46,25,14,7,80:41,89,1.93
2338,Eddie Howe,2023/24,51,24,8,19,108:80,80,1.57
2339,Garry Monk,2013/14,17,5,4,8,27:25,19,1.12
2340,Garry Monk,2014/15,43,19,8,16,58:56,65,1.51
2341,Garry Monk,2015/16,17,4,5,8,17:23,17,1.00
2342,Garry Monk,2016/17,53,27,9,17,77:61,90,1.70
2343,Garry Monk,2017/18,37,17,6,14,51:41,57,1.54
2344,Garry Monk,2018/19,48,14,19,15,64:62,61,1.27
2345,Garry Monk,2019/20,44,14,11,19,53:64,53,1.20
2346,Garry Monk,2020/21,14,5,3,6,12:14,18,1.29
2347,Garry Monk,2023/24,11,2,4,5,8:17,10,0.91
2348,Glenn Hoddle,1992/93,2,1,1,0,2:1,4,2.00
2349,Glenn Hoddle,1993/94,49,17,13,19,58:61,64,1.31
2350,Glenn Hoddle,1994/95,52,16,19,17,64:68,67,1.29
2351,Glenn Hoddle,1995/96,48,16,18,14,63:55,66,1.38
2352,Glenn Hoddle,1996/97,13,10,1,2,22:4,31,2.38
2353,Glenn Hoddle,1997/98,11,5,2,4,20:15,17,1.55
2354,Glenn Hoddle,1998/99,4,2,1,1,6:2,7,1.75
2355,Glenn Hoddle,1999/00,19,8,3,8,22:30,27,1.42
2356,Glenn Hoddle,2000/01,41,16,10,15,49:55,58,1.41
2357,Glenn Hoddle,2001/02,48,21,8,19,78:63,71,1.48
2358,Glenn Hoddle,2002/03,41,15,8,18,53:68,53,1.29
2359,Glenn Hoddle,2003/04,6,1,1,4,5:12,4,0.67
2360,Glenn Hoddle,2004/05,26,9,15,2,43:30,42,1.62
2361,Glenn Hoddle,2005/06,50,18,19,13,57:48,73,1.46
2362,Frank Lampard,2018/19,57,26,15,16,103:80,93,1.63
2363,Frank Lampard,2019/20,55,29,8,18,106:84,95,1.73
2364,Frank Lampard,2020/21,29,15,7,7,65:32,52,1.79
2365,Frank Lampard,2021/22,21,8,2,11,25:36,26,1.24
2366,Frank Lampard,2022/23,34,5,8,21,27:56,23,0.68
2367,Graeme Souness,1992/93,55,20,15,20,90:79,75,1.36
2368,Graeme Souness,1993/94,33,15,9,9,62:44,54,1.64
2369,Graeme Souness,1995/96,43,25,8,10,80:46,83,1.93
2370,Graeme Souness,1996/97,38,10,11,17,50:56,41,1.08
2371,Graeme Souness,1997/98,21,11,3,7,43:32,36,1.71
2372,Graeme Souness,1998/99,30,17,7,6,62:31,58,1.93
2373,Graeme Souness,1999/00,10,3,4,3,14:12,13,1.30
2374,Graeme Souness,2000/01,55,30,16,9,94:49,106,1.93
2375,Graeme Souness,2001/02,49,21,11,17,78:59,74,1.51
2376,Graeme Souness,2002/03,50,20,16,14,80:69,76,1.52
2377,Graeme Souness,2003/04,42,12,9,21,56:71,45,1.07
2378,Graeme Souness,2004/05,57,25,15,17,83:73,90,1.58
2379,Graeme Souness,2005/06,31,12,5,14,31:34,41,1.32
2380,Mark Hughes,1999/00,4,1,0,3,2:8,3,0.75
2381,Mark Hughes,2000/01,10,1,6,3,10:12,9,0.90
2382,Mark Hughes,2001/02,4,1,3,0,3:2,6,1.50
2383,Mark Hughes,2002/03,10,4,2,4,15:14,14,1.40
2384,Mark Hughes,2003/04,6,3,2,1,7:2,11,1.83
2385,Mark Hughes,2004/05,46,14,17,15,52:57,59,1.28
2386,Mark Hughes,2005/06,46,24,7,15,68:52,79,1.72
2387,Mark Hughes,2006/07,53,23,11,19,76:65,80,1.51
2388,Mark Hughes,2007/08,48,22,13,13,69:59,79,1.65
2389,Mark Hughes,2008/09,56,26,7,23,93:78,85,1.52
2390,Mark Hughes,2009/10,21,11,8,2,45:29,41,1.95
2391,Mark Hughes,2010/11,43,14,16,13,65:48,58,1.35
2392,Mark Hughes,2011/12,20,7,2,11,25:32,23,1.15
2393,Mark Hughes,2012/13,14,1,4,9,14:26,7,0.50
2394,Mark Hughes,2013/14,44,17,11,16,60:63,62,1.41
2395,Mark Hughes,2014/15,44,19,9,16,63:55,66,1.50
2396,Mark Hughes,2015/16,46,19,10,17,66:76,67,1.46
2397,Mark Hughes,2016/17,41,12,11,18,46:60,47,1.15
2398,Mark Hughes,2017/18,35,9,7,19,38:65,34,0.97
2399,Mark Hughes,2018/19,17,3,6,8,23:36,15,0.88
2400,Mark Hughes,2021/22,13,5,3,5,16:14,18,1.38
2401,Mark Hughes,2022/23,55,23,16,16,73:62,85,1.55
2402,Mark Hughes,2023/24,14,5,4,5,22:22,19,1.36
2403,Marcelo Bielsa,1998/99,21,6,6,9,22:27,24,1.14
2404,Marcelo Bielsa,1999/00,6,4,1,1,10:5,13,2.17
2405,Marcelo Bielsa,2000/01,20,15,4,1,46:16,49,2.45
2406,Marcelo Bielsa,2001/02,6,2,3,1,6:5,9,1.50
2407,Marcelo Bielsa,2002/03,8,7,0,1,15:4,21,2.63
2408,Marcelo Bielsa,2003/04,24,18,3,3,59:25,57,2.38
2409,Marcelo Bielsa,2004/05,8,4,3,1,14:7,15,1.88
2410,Marcelo Bielsa,2007/08,7,3,2,2,6:3,11,1.57
2411,Marcelo Bielsa,2008/09,25,12,4,9,36:33,40,1.60
2412,Marcelo Bielsa,2009/10,14,10,1,3,20:10,31,2.21
2413,Marcelo Bielsa,2010/11,5,3,1,1,7:3,10,2.00
2414,Marcelo Bielsa,2011/12,63,28,17,18,94:81,101,1.60
2415,Marcelo Bielsa,2012/13,50,15,14,21,65:81,59,1.18
2416,Marcelo Bielsa,2014/15,40,21,6,13,84:52,69,1.73
2417,Marcelo Bielsa,2015/16,1,0,0,1,0:1,0,0.00
2418,Marcelo Bielsa,2017/18,15,4,3,8,22:29,15,1.00
2419,Marcelo Bielsa,2018/19,51,27,8,16,79:59,89,1.75
2420,Marcelo Bielsa,2019/20,49,29,9,11,86:43,96,1.96
2421,Marcelo Bielsa,2020/21,40,18,5,17,71:67,59,1.48
2422,Marcelo Bielsa,2021/22,30,7,8,15,38:69,29,0.97
2423,Marcelo Bielsa,2022/23,8,6,1,1,19:6,19,2.38
2424,Marcelo Bielsa,2023/24,7,3,1,3,18:11,10,1.43
2425,Joe Kinnear,1992/93,43,14,12,17,58:58,54,1.26
2426,Joe Kinnear,1993/94,47,20,12,15,66:65,72,1.53
2427,Joe Kinnear,1994/95,46,17,12,17,52:68,63,1.37
2428,Joe Kinnear,1995/96,46,11,15,20,64:86,48,1.04
2429,Joe Kinnear,1996/97,47,20,14,13,59:52,74,1.57
2430,Joe Kinnear,1997/98,26,7,8,11,25:34,29,1.12
2431,Joe Kinnear,1998/99,45,13,14,18,46:70,53,1.18
2432,Joe Kinnear,2000/01,20,5,7,8,25:29,22,1.10
2433,Joe Kinnear,2001/02,1,0,0,1,0:4,0,0.00
2434,Joe Kinnear,2002/03,48,18,14,16,69:66,68,1.42
2435,Joe Kinnear,2003/04,17,8,7,2,27:20,31,1.82
2436,Joe Kinnear,2004/05,27,7,8,12,30:39,29,1.07
2437,Joe Kinnear,2008/09,23,4,10,9,27:34,22,0.96
2438,Glenn Roeder,1992/93,1,0,1,0,3:3,1,1.00
2439,Glenn Roeder,1994/95,4,1,1,2,6:9,4,1.00
2440,Glenn Roeder,1995/96,9,3,2,4,16:15,11,1.22
2441,Glenn Roeder,2000/01,1,0,0,1,1:2,0,0.00
2442,Glenn Roeder,2001/02,41,15,9,17,58:67,54,1.32
2443,Glenn Roeder,2002/03,39,10,11,18,47:71,41,1.05
2444,Glenn Roeder,2003/04,4,2,1,1,5:3,7,1.75
2445,Glenn Roeder,2005/06,17,11,2,4,28:15,35,2.06
2446,Glenn Roeder,2006/07,56,23,13,20,68:66,82,1.46
2447,Glenn Roeder,2007/08,35,13,9,13,44:44,48,1.37
2448,Glenn Roeder,2008/09,30,7,6,17,33:46,27,0.90
2449,Bobby Gould,1992/93,42,13,13,16,52:57,52,1.24
2450,Bobby Gould,1993/94,11,3,6,2,13:11,15,1.36
2451,Bobby Gould,1994/95,3,1,1,1,3:3,4,1.33
2452,Bobby Gould,1995/96,2,0,0,2,0:5,0,0.00
2453,Bobby Gould,1996/97,8,2,1,5,20:21,7,0.88
2454,Bobby Gould,1997/98,4,1,1,2,1:7,4,1.00
2455,Bobby Gould,1998/99,10,4,1,5,10:16,13,1.30
2456,Bobby Gould,2000/01,2,0,1,1,1:2,1,0.50
2457,Bobby Gould,2002/03,21,5,10,6,30:30,25,1.19
2458,Bobby Gould,2003/04,4,0,0,4,5:11,0,0.00
2459,Thomas Frank,2008/09,3,2,0,1,6:5,6,2.00
2460,Thomas Frank,2009/10,2,0,0,2,1:6,0,0.00
2461,Thomas Frank,2010/11,11,6,1,4,12:14,19,1.73
2462,Thomas Frank,2011/12,13,9,3,1,32:18,30,2.31
2463,Thomas Frank,2012/13,5,3,0,2,14:4,9,1.80
2464,Thomas Frank,2013/14,34,13,13,8,48:40,52,1.53
2465,Thomas Frank,2014/15,38,18,7,13,50:40,61,1.61
2466,Thomas Frank,2015/16,31,15,9,7,55:31,54,1.74
2467,Thomas Frank,2018/19,38,15,8,15,61:53,53,1.39
2468,Thomas Frank,2019/20,52,26,9,17,90:49,87,1.67
2469,Thomas Frank,2020/21,57,32,15,10,105:59,111,1.95
2470,Thomas Frank,2021/22,44,17,7,20,65:65,58,1.32
2471,Thomas Frank,2022/23,41,16,14,11,66:54,62,1.51
2472,Thomas Frank,2023/24,42,11,10,21,63:71,43,1.02
2473,Ron Atkinson,1992/93,43,22,11,10,58:40,77,1.79
2474,Ron Atkinson,1993/94,55,23,14,18,70:65,83,1.51
2475,Ron Atkinson,1994/95,32,9,8,15,38:47,35,1.09
2476,Ron Atkinson,1995/96,42,10,15,17,49:66,45,1.07
2477,Ron Atkinson,1996/97,11,1,5,5,5:14,8,0.73
2478,Ron Atkinson,1997/98,23,8,5,10,27:33,29,1.26
2479,Ron Atkinson,1998/99,17,5,2,10,17:29,17,1.00
2480,Sam Allardyce,1997/98,2,1,1,0,3:2,4,2.00
2481,Sam Allardyce,1998/99,48,14,13,21,56:66,55,1.15
2482,Sam Allardyce,1999/00,56,30,12,14,84:58,102,1.82
2483,Sam Allardyce,2000/01,51,26,16,9,84:53,94,1.84
2484,Sam Allardyce,2001/02,44,13,13,18,61:83,52,1.18
2485,Sam Allardyce,2002/03,41,10,15,16,42:55,45,1.10
2486,Sam Allardyce,2003/04,47,19,12,16,65:68,69,1.47
2487,Sam Allardyce,2004/05,44,20,10,14,59:50,70,1.59
2488,Sam Allardyce,2005/06,53,22,16,15,66:53,82,1.55
2489,Sam Allardyce,2006/07,41,18,8,15,53:53,62,1.51
2490,Sam Allardyce,2007/08,24,8,6,10,29:35,30,1.25
2491,Sam Allardyce,2008/09,26,9,9,8,28:30,36,1.38
2492,Sam Allardyce,2009/10,45,17,11,17,62:74,62,1.38
2493,Sam Allardyce,2010/11,19,7,3,9,26:31,24,1.26
2494,Sam Allardyce,2011/12,51,27,14,10,89:52,95,1.86
2495,Sam Allardyce,2012/13,42,13,11,18,50:60,50,1.19
2496,Sam Allardyce,2013/14,45,15,7,23,49:69,52,1.16
2497,Sam Allardyce,2014/15,43,14,12,17,62:68,54,1.26
2498,Sam Allardyce,2015/16,31,9,9,13,41:47,36,1.16
2499,Sam Allardyce,2016/17,25,10,3,12,25:35,33,1.32
2500,Sam Allardyce,2017/18,26,10,7,9,31:32,37,1.42
2501,Sam Allardyce,2020/21,26,4,7,15,29:55,19,0.73
2502,Sam Allardyce,2022/23,4,0,1,3,5:11,1,0.25
2503,Marco Silva,2011/12,33,18,7,8,51:33,61,1.85
2504,Marco Silva,2012/13,36,14,9,13,52:43,51,1.42
2505,Marco Silva,2013/14,47,22,14,11,66:42,80,1.70
2506,Marco Silva,2014/15,53,32,14,7,108:55,110,2.08
2507,Marco Silva,2015/16,48,38,3,7,119:39,117,2.44
2508,Marco Silva,2016/17,22,8,3,11,25:43,27,1.23
2509,Marco Silva,2017/18,26,8,5,13,38:47,29,1.12
2510,Marco Silva,2018/19,42,17,9,16,65:56,60,1.43
2511,Marco Silva,2019/20,18,7,2,9,24:29,23,1.28
2512,Marco Silva,2021/22,50,29,9,12,115:53,96,1.92
2513,Marco Silva,2022/23,44,18,8,18,64:61,62,1.41
2514,Marco Silva,2023/24,46,18,9,19,77:79,63,1.37
2515,Alan Curbishley,1992/93,2,0,1,1,3:5,1,0.50
2516,Alan Curbishley,1993/94,5,2,2,1,5:4,8,1.60
2517,Alan Curbishley,1995/96,7,3,2,2,9:7,11,1.57
2518,Alan Curbishley,1996/97,50,16,13,21,56:74,61,1.22
2519,Alan Curbishley,1997/98,43,25,8,10,76:46,83,1.93
2520,Alan Curbishley,1998/99,40,8,12,20,42:60,36,0.90
2521,Alan Curbishley,1999/00,52,30,11,11,86:52,101,1.94
2522,Alan Curbishley,2000/01,39,14,10,15,52:61,52,1.33
2523,Alan Curbishley,2001/02,43,13,14,16,46:55,53,1.23
2524,Alan Curbishley,2002/03,40,14,7,19,50:65,49,1.23
2525,Alan Curbishley,2003/04,41,15,11,15,65:66,56,1.37
