,Name,Season,Matches,W,D,L,Goals,Points,PPM
310,Sir Kenny Dalglish,1993/94,51,28,13,10,74:45,97,1.90
311,Sir Kenny Dalglish,1994/95,51,29,11,11,90:51,98,1.92
312,Sir Kenny Dalglish,1996/97,20,9,6,5,36:23,33,1.65
313,Sir Kenny Dalglish,1997/98,56,21,14,21,58:62,77,1.38
314,Sir Kenny Dalglish,1998/99,1,0,1,0,1:1,1,1.00
315,Sir Kenny Dalglish,1999/00,18,9,4,5,38:21,31,1.72
316,Sir Kenny Dalglish,2010/11,23,11,5,7,36:19,38,1.65
317,Sir Kenny Dalglish,2011/12,51,25,11,15,82:56,86,1.69
318,Roy Evans,1993/94,16,5,2,9,15:23,17,1.06
319,Roy Evans,1994/95,57,32,14,11,89:45,110,1.93
320,Roy Evans,1995/96,53,29,14,10,98:39,101,1.91
321,Roy Evans,1996/97,52,28,13,11,93:56,97,1.87
322,Roy Evans,1997/98,48,23,13,12,82:53,82,1.71
323,Roy Evans,1998/99,17,7,6,4,32:18,27,1.59
324,Roy Evans,2001/02,23,8,6,9,24:31,30,1.30
325,Rafael Benítez,1993/94,27,13,5,9,43:31,44,1.63
326,Rafael Benítez,1994/95,38,13,13,12,42:40,52,1.37
327,Rafael Benítez,1995/96,23,2,8,13,26:45,14,0.61
328,Rafael Benítez,1996/97,2,0,1,1,2:3,1,0.50
329,Rafael Benítez,1997/98,50,27,12,11,68:45,93,1.86
330,Rafael Benítez,1998/99,42,9,13,20,28:61,40,0.95
331,Rafael Benítez,2000/01,46,23,11,12,63:39,80,1.74
332,Rafael Benítez,2001/02,49,28,15,6,77:37,99,2.02
333,Rafael Benítez,2002/03,55,26,13,16,81:51,91,1.65
334,Rafael Benítez,2003/04,55,35,10,10,96:37,115,2.09
335,Rafael Benítez,2004/05,60,31,10,19,89:61,103,1.72
336,Rafael Benítez,2005/06,62,41,10,11,107:45,133,2.15
337,Rafael Benítez,2006/07,58,32,10,16,93:53,106,1.83
338,Rafael Benítez,2007/08,59,33,17,9,119:50,116,1.97
339,Rafael Benítez,2008/09,55,34,16,5,106:46,118,2.15
340,Rafael Benítez,2009/10,56,26,11,19,84:54,89,1.59
341,Rafael Benítez,2010/11,25,12,6,7,41:28,42,1.68
342,Rafael Benítez,2012/13,48,28,10,10,99:49,94,1.96
343,Rafael Benítez,2013/14,53,32,11,10,104:57,107,2.02
344,Rafael Benítez,2014/15,59,29,15,15,115:82,102,1.73
345,Rafael Benítez,2015/16,35,20,9,6,85:34,69,1.97
346,Rafael Benítez,2016/17,53,33,8,12,101:49,107,2.02
347,Rafael Benítez,2017/18,41,13,8,20,44:54,47,1.15
348,Rafael Benítez,2018/19,59,20,13,26,79:88,73,1.24
349,Rafael Benítez,2019/20,21,5,5,11,26:34,20,0.95
350,Rafael Benítez,2021/22,22,7,4,11,38:47,25,1.14
351,Rafael Benítez,2023/24,33,9,9,15,44:49,36,1.09
352,Gérard Houllier,1992/93,12,7,1,4,20:13,22,1.83
353,Gérard Houllier,1993/94,1,1,0,0,5:1,3,3.00
354,Gérard Houllier,1996/97,5,3,0,2,16:15,9,1.80
355,Gérard Houllier,1998/99,31,12,5,14,55:43,41,1.32
356,Gérard Houllier,1999/00,43,22,10,11,63:36,76,1.77
357,Gérard Houllier,2000/01,63,39,13,11,132:62,130,2.06
358,Gérard Houllier,2001/02,59,34,15,10,99:48,117,1.98
359,Gérard Houllier,2002/03,60,30,14,16,98:66,104,1.73
360,Gérard Houllier,2003/04,52,23,16,13,80:53,85,1.63
361,Gérard Houllier,2005/06,54,36,11,7,108:47,119,2.20
362,Gérard Houllier,2006/07,54,34,12,8,94:44,114,2.11
363,Gérard Houllier,2010/11,40,14,11,15,55:61,53,1.33
364,Ole Gunnar Solskjær,2009/10,18,13,2,3,35:10,41,2.28
365,Ole Gunnar Solskjær,2010/11,39,21,10,8,76:54,73,1.87
366,Ole Gunnar Solskjær,2011/12,36,24,5,7,67:39,77,2.14
367,Ole Gunnar Solskjær,2012/13,49,24,10,15,98:65,82,1.67
368,Ole Gunnar Solskjær,2013/14,27,7,5,15,25:51,26,0.96
369,Ole Gunnar Solskjær,2014/15,12,7,2,3,22:14,23,1.92
370,Ole Gunnar Solskjær,2015/16,39,18,7,14,65:54,61,1.56
